0:0:0:0:0:0:0:1 - - [03/May/2018:19:21:24 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [03/May/2018:19:21:45 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [03/May/2018:19:21:59 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 5903417
0:0:0:0:0:0:0:1 - - [03/May/2018:19:22:03 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [03/May/2018:19:22:09 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [03/May/2018:19:22:41 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [03/May/2018:19:22:42 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [03/May/2018:19:22:45 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [03/May/2018:19:22:53 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1713
0:0:0:0:0:0:0:1 - - [03/May/2018:19:23:00 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [03/May/2018:19:23:36 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1752
0:0:0:0:0:0:0:1 - - [03/May/2018:19:24:56 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [03/May/2018:19:25:29 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [03/May/2018:19:25:32 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [03/May/2018:19:25:55 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [03/May/2018:19:26:13 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 500 3777
0:0:0:0:0:0:0:1 - - [03/May/2018:19:26:19 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1739
0:0:0:0:0:0:0:1 - - [03/May/2018:19:27:03 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 500 3907
0:0:0:0:0:0:0:1 - - [03/May/2018:19:30:51 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [03/May/2018:19:31:01 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [03/May/2018:19:32:34 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1761
0:0:0:0:0:0:0:1 - - [03/May/2018:19:34:21 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [03/May/2018:19:34:35 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1761
0:0:0:0:0:0:0:1 - - [03/May/2018:19:35:47 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1757
0:0:0:0:0:0:0:1 - - [03/May/2018:19:36:01 +0900] "GET /amasbin/choice.jsp HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [03/May/2018:19:36:03 +0900] "GET /amasbin/movieReader.jsp?FILE_NAME=Bubble%20Tea HTTP/1.1" 200 4821
0:0:0:0:0:0:0:1 - - [03/May/2018:19:36:08 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [03/May/2018:19:36:20 +0900] "GET /amasbin/choice.jsp HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [03/May/2018:19:36:21 +0900] "GET /amasbin/movieReader.jsp?FILE_NAME=Bubble%20Tea HTTP/1.1" 200 4821
0:0:0:0:0:0:0:1 - - [03/May/2018:19:36:25 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1644
0:0:0:0:0:0:0:1 - - [03/May/2018:19:37:26 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [03/May/2018:19:38:00 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [03/May/2018:19:38:45 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [03/May/2018:19:39:03 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [03/May/2018:19:39:24 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [03/May/2018:19:39:41 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [03/May/2018:19:39:47 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [03/May/2018:19:40:01 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1644
0:0:0:0:0:0:0:1 - - [03/May/2018:19:40:06 +0900] "GET /amasbin/choice.jsp HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [03/May/2018:19:40:18 +0900] "GET /amasbin/movieReader.jsp?FILE_NAME=Bubble%20Tea HTTP/1.1" 200 4821
0:0:0:0:0:0:0:1 - - [03/May/2018:19:40:29 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [03/May/2018:19:46:27 +0900] "GET /amasbin/choice.jsp HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [03/May/2018:19:46:28 +0900] "GET /amasbin/movieReader.jsp?FILE_NAME=Bubble%20Tea HTTP/1.1" 200 4821
0:0:0:0:0:0:0:1 - - [03/May/2018:19:46:34 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1711
0:0:0:0:0:0:0:1 - - [03/May/2018:19:48:13 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [03/May/2018:19:48:29 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [03/May/2018:19:48:56 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [03/May/2018:19:49:06 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [03/May/2018:19:49:23 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [03/May/2018:19:49:51 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [03/May/2018:19:50:11 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [03/May/2018:19:50:17 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [03/May/2018:19:56:50 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [03/May/2018:19:56:55 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [03/May/2018:19:57:30 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [03/May/2018:19:57:37 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [03/May/2018:19:57:43 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [03/May/2018:19:57:46 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [03/May/2018:19:57:49 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1838
0:0:0:0:0:0:0:1 - - [03/May/2018:19:58:16 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [03/May/2018:19:59:50 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [03/May/2018:20:01:18 +0900] "GET /amasbin/choice.jsp HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [03/May/2018:20:01:19 +0900] "GET /amasbin/movieReader.jsp?FILE_NAME=Bubble%20Tea HTTP/1.1" 200 4835
0:0:0:0:0:0:0:1 - - [03/May/2018:20:01:23 +0900] "POST /amasbin/buy.jsp HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [03/May/2018:20:01:25 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [03/May/2018:20:07:40 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [03/May/2018:20:09:11 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 200 2113
0:0:0:0:0:0:0:1 - - [03/May/2018:20:09:43 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 200 2113
0:0:0:0:0:0:0:1 - - [03/May/2018:20:09:44 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 200 2113
0:0:0:0:0:0:0:1 - - [03/May/2018:20:09:47 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 200 2113
0:0:0:0:0:0:0:1 - - [03/May/2018:20:10:18 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 200 1681
0:0:0:0:0:0:0:1 - - [03/May/2018:20:10:23 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [03/May/2018:20:13:51 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 200 1788
0:0:0:0:0:0:0:1 - - [03/May/2018:20:17:28 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 500 7016
0:0:0:0:0:0:0:1 - - [03/May/2018:20:18:12 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 500 6771
0:0:0:0:0:0:0:1 - - [03/May/2018:20:24:11 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 500 6771
0:0:0:0:0:0:0:1 - - [03/May/2018:20:24:41 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 500 6867
0:0:0:0:0:0:0:1 - - [03/May/2018:20:24:55 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 500 6867
0:0:0:0:0:0:0:1 - - [03/May/2018:20:24:55 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 200 1788
0:0:0:0:0:0:0:1 - - [03/May/2018:20:24:55 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 200 1788
0:0:0:0:0:0:0:1 - - [03/May/2018:20:24:59 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 500 6867
0:0:0:0:0:0:0:1 - - [03/May/2018:20:25:00 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 200 1788
0:0:0:0:0:0:0:1 - - [03/May/2018:20:25:00 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 200 1788
0:0:0:0:0:0:0:1 - - [03/May/2018:20:25:01 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 200 1788
0:0:0:0:0:0:0:1 - - [03/May/2018:20:25:01 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 200 1788
0:0:0:0:0:0:0:1 - - [03/May/2018:20:25:02 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 200 1788
0:0:0:0:0:0:0:1 - - [03/May/2018:20:25:02 +0900] "GET /amasbin/photo.jsp HTTP/1.1" 200 1788
